,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,410,Sponsor Bank - Christine Hermanson Grant Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sponsor Codes,,,,,,,,,,,Sponsored,,,,,,,,,,,
,Sponsor,,Member,,Subscribe,,Member,,Member,,,,,Assigned,,,,,,,,,
,Code,,Number,,Date,,Last Name,,First Name,,,Member,,Date,,School Name,,,,Last Name,,,First Name
,,,,,,,,,,,,,,,,,,,,,,,
,11238A,,11238,,05/07/17,,Smith,,Joe,,,12987,,05/20/17,,Pine Valley School,,,,Peterson,,,Sally
,12678A,,12678,,06/09/17,,Jones,,Millie,,,,,,,,,,,,,,
,9345A,,9345,,06/15/17,,Prior,,Early,,,12996,,07/06/17,,Oak School,,,,Royce,,,John
,15983A,,15983,,06/15/17,,Yates,,Susan,,,13001,,09/03/17,,River Run Academy,,,,Jason,,,Sue
,18320A,,18320,,06/15/17,,Thomas,,Janice,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,"A sponsor code is created automatically when a membership is created.  (Member number + ""A"")",,,,,,,,,,,,,,,,,,,,
,,,The sponsor code is not available for use until the member becomes an Ensemble Member.,,,,,,,,,,,,,,,,,,,,
,,,New Ensemble Member will have sponsor code appear on their Member Dashboard.,,,,,,,,,,,,,,,,,,,,
,,,Member provides sponsor code to a school who uses the code upon entering subscription.,,,,,,,,,,,,,,,,,,,,
,,,Ensemble Member Dashboard will show name of entity being sponsored.,,,,,,,,,,,,,,,,,,,,
,,,"If the Ensemble Member does not use the sponsor code within a certain period of time, it goes into the bank",,,,,,,,,,,,,,,,,,,,
,,,,and Site Administrator can assign.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,520  USER PERMISSIONS TABLE,,,,,,,,,,,,,,,,,,,,,,
,Permission,,Permitted,,,,,Prelude,,Solo,,Ensemble,,Teacher,,Student,,Customer,,Site,,,
